task,task_display,target,n,mean,sd,median,q1,q3,iqr,min,max,mean_ci_95_low,mean_ci_95_high
pick_place,PnP,valence,46,4.717391304347826,1.6554696343167783,5.0,4.0,6.0,2.0,1.0,7.0,4.225777506587675,5.2090051021079775
pick_place,PnP,arousal,46,4.608695652173913,1.9491110323491376,5.0,3.25,6.0,2.75,1.0,7.0,4.029881123047966,5.18751018129986
shape_sorter_observation,SSObs,valence,46,5.413043478260869,1.4232371077000134,6.0,4.25,7.0,2.75,2.0,7.0,4.990394228087011,5.8356927284347275
shape_sorter_observation,SSObs,arousal,46,4.956521739130435,1.6187309396785075,5.0,4.0,6.0,2.0,1.0,7.0,4.475817986967902,5.437225491292967
stack,St,valence,46,4.804347826086956,1.4999194825410729,5.0,4.0,6.0,2.0,2.0,7.0,4.358926721488574,5.249768930685338
stack,St,arousal,46,4.782608695652174,1.5335223575990142,5.0,4.0,6.0,2.0,2.0,7.0,4.327208768923532,5.238008622380816
sisyphus,Sisyphus,valence,46,5.5,1.36218778278017,6.0,5.0,7.0,2.0,2.0,7.0,5.095480161476102,5.904519838523898
sisyphus,Sisyphus,arousal,46,5.673913043478261,1.2658654979646131,6.0,5.0,7.0,2.0,2.0,7.0,5.297997392712028,6.049828694244494
shape_sorter_interaction,SSInt,valence,46,5.913043478260869,1.261852024367741,6.0,5.0,7.0,2.0,3.0,7.0,5.538319682033233,6.287767274488505
shape_sorter_interaction,SSInt,arousal,46,5.086956521739131,1.8236238276394339,5.5,4.0,7.0,3.0,1.0,7.0,4.545407092497124,5.628505950981138
shape_sorter_alone,SSAlone,valence,46,5.1521739130434785,1.3327897442640602,5.0,4.0,6.0,2.0,1.0,7.0,4.756384214331277,5.54796361175568
shape_sorter_alone,SSAlone,arousal,46,2.9347826086956523,1.8547497454798285,2.5,1.0,4.0,3.0,1.0,7.0,2.383989922820549,3.4855752945707557
