branch,target,participant,comparison,left_condition,right_condition,metric,left_value,right_value,delta_left_minus_right,included
eeg_only,arousal,P01,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.6160145647122239,0.637297793262674,-0.021283228550450062,True
eeg_only,arousal,P02,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.6591406287284896,0.65094108481347,0.008199543915019536,True
eeg_only,arousal,P03,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.268908974671191,0.148203300066816,0.12070567460437501,True
eeg_only,arousal,P04,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.9995157991230066,0.9998300928768996,-0.0003142937538930246,True
eeg_only,arousal,P05,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5173012307926783,0.5216384690438466,-0.004337238251168274,True
eeg_only,arousal,P06,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5948515211937813,0.3897451523663355,0.20510636882744576,True
eeg_only,arousal,P07,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.7282779962003486,0.6045630312705371,0.12371496492981149,True
eeg_only,arousal,P08,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5055910538910947,0.5019939119558938,0.003597141935200887,True
eeg_only,arousal,P09,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,1.3771457552359706e-13,0.0121504572406082,-0.012150457240470485,True
eeg_only,arousal,P10,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5435262826594927,0.4466215640201284,0.09690471863936423,True
eeg_only,arousal,P11,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.2221978455909194,0.3045928803331197,-0.08239503474220031,True
eeg_only,arousal,P12,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.2501571470207887,0.7036328891063586,-0.4534757420855699,True
eeg_only,arousal,P13,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.4541305284987331,0.4763585110683875,-0.022227982569654414,True
eeg_only,arousal,P14,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5709035464390256,0.4887067864767179,0.08219675996230774,True
eeg_only,arousal,P15,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.7748053089608541,0.7945057238784059,-0.01970041491755181,True
eeg_only,arousal,P16,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.2452241081277681,0.3181185287288797,-0.07289442060111159,True
eeg_only,arousal,P17,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.4713248414936786,0.7138878537201518,-0.24256301222647325,True
eeg_only,arousal,P18,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.4863306298770614,0.4847561642810497,0.0015744655960117093,True
eeg_only,arousal,P19,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.1173110323725697,0.3282113513976044,-0.21090031902503467,True
eeg_only,arousal,P20,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.7243733987019603,0.836699349581427,-0.11232595087946673,True
eeg_only,arousal,P21,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5094489628169574,0.4864825680101014,0.022966394806855972,True
eeg_only,arousal,P22,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.1901647747004985,0.40202337542257,-0.2118586007220715,True
eeg_only,arousal,P23,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.7273235696472916,0.7447999050709069,-0.017476335423615263,True
eeg_only,arousal,P24,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5452820612707698,0.3935734009687811,0.15170866030198876,True
eeg_only,arousal,P25,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.3174810414554027,0.0902257347706646,0.2272553066847381,True
eeg_only,arousal,P26,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5471767176224669,0.994087371539371,-0.4469106539169041,True
eeg_only,arousal,P27,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.7417095854147153,0.7690520143633719,-0.027342428948656572,True
eeg_only,arousal,P28,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.6063828101599589,0.4413534937100239,0.16502931644993496,True
eeg_only,arousal,P29,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5180031439771018,0.4422740039684898,0.07572914000861197,True
eeg_only,arousal,P30,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.6514237645438967,0.6415278497800228,0.00989591476387397,True
eeg_only,arousal,P31,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.5551090600795141,0.5232970961608928,0.03181196391862129,True
eeg_only,arousal,P32,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.9999999999199716,0.9999999999980034,-7.80318032411742e-11,True
eeg_only,arousal,P33,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.7553434302920747,0.7550562000472953,0.00028723024477939063,True
eeg_only,arousal,P34,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.6262930757528268,0.5711097624993065,0.05518331325352033,True
eeg_only,arousal,P35,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.4963711943357627,0.7580281547263676,-0.26165696039060493,True
eeg_only,arousal,P36,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.8332533596910199,0.6498528493809819,0.183400510310038,True
eeg_only,arousal,P37,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.7515274162192346,0.8305513700743323,-0.07902395385509775,True
eeg_only,arousal,P38,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,4.3783879081179903e-10,8.709768306588096e-11,3.507411077459181e-10,True
eeg_only,arousal,P39,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.0210813627577309,0.0143003507056214,0.006781012052109502,True
eeg_only,arousal,P40,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.8577771012679326,0.7903990011840152,0.06737810008391742,True
eeg_only,arousal,P41,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.8923711360412789,0.9786317514613164,-0.08626061542003749,True
eeg_only,arousal,P42,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.999612496947336,0.9810886615119404,0.018523835435395597,True
eeg_only,arousal,P43,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.3810469687038633,0.7799590175848609,-0.39891204888099757,True
eeg_only,arousal,P44,fault_effect,FAULTY_FAST,CONTROL_FAST,task_consensus_p_high,0.2048803213368912,0.2048803213368912,0.0,True
