analysis_type,branch,outcome,predictor,n_task_cases,n_participants,coefficient_per_1sd,odds_ratio_per_1sd,coefficient_ci_95_low,coefficient_ci_95_high,p_value_bootstrap_sign,spearman_rho,p_value_raw,target,task,p_value_fdr_bh
participant_cluster_bootstrap_logistic_adjusted_task_target,eeg_only,correct,nearest_image_distance,536.0,46,-0.1576492959477144,0.8541492830621151,-0.5757371251456922,0.04512866076832591,0.21782178217821782,,,,,0.21782178217821782
participant_cluster_bootstrap_logistic_adjusted_task_target,eeg_only,correct,outside_selected_fraction,536.0,46,-0.13647823545186372,0.8724253079956028,-0.3738464745247839,0.0427432507163354,0.19801980198019803,,,,,0.21782178217821782
participant_cluster_bootstrap_logistic_adjusted_task_target,eeg_only,correct,median_abs_image_z,536.0,46,-0.2904184814698924,0.7479504986522791,-0.537386169558147,-0.09895114302730132,0.019801980198019802,,,,,0.0594059405940594
participant_mean_spearman,eeg_only,absolute_margin,nearest_image_distance,,46,,,,,,0.35010792476102376,0.017068266684784332,,,
participant_mean_spearman,eeg_only,unanimous_agreement,nearest_image_distance,,46,,,,,,-0.025100215849522045,0.8684883582112815,,,
participant_mean_spearman,eeg_only,probability_range,nearest_image_distance,,46,,,,,,0.04631514030218933,0.7598759121564911,,,
participant_mean_spearman,eeg_only,absolute_margin,outside_selected_fraction,,46,,,,,,0.3644156645081714,0.012779947151970056,,,
participant_mean_spearman,eeg_only,unanimous_agreement,outside_selected_fraction,,46,,,,,,-0.08479802651865556,0.5752672064049233,,,
participant_mean_spearman,eeg_only,probability_range,outside_selected_fraction,,46,,,,,,0.2213382670366944,0.1393326774679132,,,
participant_mean_spearman,eeg_only,absolute_margin,median_abs_image_z,,46,,,,,,0.3737897008942337,0.01050052533515744,,,
participant_mean_spearman,eeg_only,unanimous_agreement,median_abs_image_z,,46,,,,,,0.044341658957755166,0.769822431773125,,,
participant_mean_spearman,eeg_only,probability_range,median_abs_image_z,,46,,,,,,0.10218933086648165,0.4991802025428804,,,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,46.0,46,,,,,,0.22347460335607186,0.13545825841061024,valence,pick_place,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,46.0,46,,,,,,-0.13408476201364314,0.3743251702231123,valence,pick_place,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,46.0,46,,,,,,-0.05157106231293967,0.7335758985372554,valence,pick_place,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,46.0,46,,,,,,-0.029502647161824744,0.8456809000042783,valence,shape_sorter_observation,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,46.0,46,,,,,,0.2720883584198242,0.06735627142198249,valence,shape_sorter_observation,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,46.0,46,,,,,,0.04917107860304124,0.7455497491745549,valence,shape_sorter_observation,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,46.0,46,,,,,,-0.05752992848417942,0.7041209059257891,valence,stack,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,46.0,46,,,,,,-0.044380230544938414,0.7696276710825504,valence,stack,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,46.0,46,,,,,,-0.12656584266519472,0.4019377462378043,valence,stack,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,42.0,42,,,,,,0.16773074595619666,0.2883448969470415,valence,sisyphus,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,42.0,42,,,,,,0.12431808229694573,0.4328000013668928,valence,sisyphus,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,42.0,42,,,,,,0.08485202442489949,0.5931521215011974,valence,sisyphus,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,44.0,44,,,,,,-0.14512144570186733,0.34726741771738,valence,shape_sorter_interaction,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,44.0,44,,,,,,0.04120732408818455,0.7905609411421399,valence,shape_sorter_interaction,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,44.0,44,,,,,,-0.055540306379727004,0.7202809568197124,valence,shape_sorter_interaction,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,44.0,44,,,,,,-0.04653404546570933,0.7642165913647215,valence,shape_sorter_alone,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,44.0,44,,,,,,0.03221701285140568,0.8355373133763865,valence,shape_sorter_alone,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,44.0,44,,,,,,0.11454534268482294,0.45907168097423634,valence,shape_sorter_alone,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,46.0,46,,,,,,0.20628424925175867,0.16899835711390887,arousal,pick_place,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,46.0,46,,,,,,-0.07220839415737446,0.6334429018364791,arousal,pick_place,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,46.0,46,,,,,,0.15815125775968167,0.2938382278023926,arousal,pick_place,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,46.0,46,,,,,,0.1868500986915567,0.21372492192138787,arousal,shape_sorter_observation,
