participant,target,task,task_display,robot_condition,robot_rating,robot_rating_1_to_7,robot_rating_class,n_candidate_windows,n_complete_top3_windows,n_incomplete_top3_windows,fraction_complete_top3_windows,n_consensus_windows,unanimous_agreement_rate,unanimous_high_rate,unanimous_low_rate,fraction_unanimous_top3_windows,fraction_unanimous_high_windows,fraction_unanimous_low_windows,majority_vote_high_fraction,models_with_shift_warning,median_top3_consensus_probability,mean_top3_consensus_probability,fraction_consensus_windows_ge_0_5,descriptive_task_verdict,consensus_verdict,verdict_matches_robot_rating,consensus_matches_robot_rating,mean_top3_probability_range,median_top3_probability_range,mean_pairwise_absolute_probability_difference,disagreement_rate,class_agreement_1_2,class_agreement_1_3,class_agreement_2_3,probability_correlation_1_2,probability_correlation_1_3,probability_correlation_2_3,nearest_image_distance,top3_median_fraction_windows_with_outside,outside_selected_fraction,median_abs_image_z,max_abs_image_z,rank1_image_ba,rank1_image_accuracy,rank2_image_ba,rank2_image_accuracy,rank3_image_ba,rank3_image_accuracy,mean_top3_image_ba,median_top3_image_ba,mean_top3_image_accuracy,median_top3_image_accuracy,branch,actual_class,actual_high,predicted_probability,predicted_class,predicted_high,correct,absolute_margin,rank1_modality,rank2_modality,rank3_modality,probability_correlation_1_2_x,probability_correlation_1_3_x,probability_correlation_2_3_x,probability_correlation_1_2_y,probability_correlation_1_3_y,probability_correlation_2_3_y
P01,arousal,pick_place,PnP,SLOW,5.0,5.0,HIGH,43,43,0,1.0,43.0,0.6744186046511628,0.2790697674418604,0.3953488372093023,0.6744186046511628,0.2790697674418604,0.3953488372093023,0.4883720930232558,,0.5413625917029957,0.5315493777611807,0.5581395348837209,HIGH,HIGH,True,True,0.2121961432322855,0.2169006646672289,0.1414640954881903,0.3255813953488372,0.6976744186046512,0.8837209302325582,0.7674418604651163,0.7783187889497,0.9408788414252306,0.6415397270638242,1.9794463454977345,0.2325581395348837,0.055813953488372,0.8997885289272173,2312.204618256099,0.5818070818070817,0.598814229249012,0.5368131868131869,0.5628458498023716,0.5362637362637364,0.5636363636363637,0.5516280016280016,0.5368131868131869,0.5750988142292491,0.5636363636363637,eeg_only,HIGH,1,0.5413625917029957,HIGH,1,True,0.0413625917029957,,,,,,,,,
P01,arousal,shape_sorter_alone,SSAlone,,1.0,1.0,LOW,15,15,0,1.0,15.0,0.8666666666666667,0.2666666666666666,0.6,0.8666666666666667,0.2666666666666666,0.6,0.4,,0.1941189101396658,0.4045219208187257,0.4,LOW,LOW,True,True,0.2654634901513226,0.2813712808148912,0.1769756601008817,0.1333333333333333,0.8666666666666667,1.0,0.8666666666666667,0.9419166802680518,0.9384939433119092,0.7899977019286838,2.600552500654611,0.6666666666666666,0.2083333333333333,1.1907319650386952,2716.23342598572,0.5818070818070817,0.598814229249012,0.5368131868131869,0.5628458498023716,0.5362637362637364,0.5636363636363637,0.5516280016280016,0.5368131868131869,0.5750988142292491,0.5636363636363637,eeg_only,LOW,0,0.1941189101396658,LOW,0,True,0.3058810898603342,,,,,,,,,
P01,arousal,shape_sorter_interaction,SSInt,,5.0,5.0,HIGH,83,83,0,1.0,83.0,0.6385542168674698,0.2289156626506024,0.4096385542168674,0.6385542168674698,0.2289156626506024,0.4096385542168674,0.4698795180722891,,0.5529841977660601,0.5303381550282463,0.5662650602409639,HIGH,HIGH,True,True,0.2094617654651203,0.1908538911403804,0.1396411769767468,0.3614457831325301,0.6385542168674698,0.8795180722891566,0.7590361445783133,0.8919748667750557,0.9661259853590816,0.804804325494587,1.8938711734240017,0.4457831325301205,0.0933734939759036,0.9994410275029788,3457.613302557546,0.5818070818070817,0.598814229249012,0.5368131868131869,0.5628458498023716,0.5362637362637364,0.5636363636363637,0.5516280016280016,0.5368131868131869,0.5750988142292491,0.5636363636363637,eeg_only,HIGH,1,0.5529841977660601,HIGH,1,True,0.0529841977660601,,,,,,,,,
P01,arousal,shape_sorter_observation,SSObs,FAST,6.0,6.0,HIGH,63,63,0,1.0,63.0,0.6507936507936508,0.365079365079365,0.2857142857142857,0.6507936507936508,0.365079365079365,0.2857142857142857,0.6190476190476191,,0.637297793262674,0.5869359812255156,0.7142857142857143,HIGH,HIGH,True,True,0.238960117694659,0.2457531226241442,0.1593067451297727,0.3492063492063492,0.6666666666666666,0.8888888888888888,0.746031746031746,0.7798639844888261,0.9543549230893916,0.6884661805343413,1.698077797459797,0.2698412698412698,0.0496031746031746,0.8051218486106744,2325.8756665587725,0.5818070818070817,0.598814229249012,0.5368131868131869,0.5628458498023716,0.5362637362637364,0.5636363636363637,0.5516280016280016,0.5368131868131869,0.5750988142292491,0.5636363636363637,eeg_only,HIGH,1,0.637297793262674,HIGH,1,True,0.137297793262674,,,,,,,,,
P01,arousal,sisyphus,Sisyphus,,5.0,5.0,HIGH,88,88,0,1.0,88.0,0.6363636363636364,0.0568181818181818,0.5795454545454546,0.6363636363636364,0.0568181818181818,0.5795454545454546,0.375,,0.3509498130106145,0.4091493676614801,0.3863636363636363,LOW,LOW,False,False,0.2614276021906611,0.2430315851260343,0.1742850681271074,0.3636363636363636,0.6704545454545454,0.9545454545454546,0.6477272727272727,0.6827371735082742,0.932859189339852,0.5307181283805249,4.336345749443555,0.6590909090909091,0.1340909090909091,0.9911767800429752,2502.9486250107075,0.5818070818070817,0.598814229249012,0.5368131868131869,0.5628458498023716,0.5362637362637364,0.5636363636363637,0.5516280016280016,0.5368131868131869,0.5750988142292491,0.5636363636363637,eeg_only,HIGH,1,0.3509498130106145,LOW,0,False,0.1490501869893855,,,,,,,,,
P01,arousal,stack,St,FAULTY,5.0,5.0,HIGH,70,70,0,1.0,70.0,0.5428571428571428,0.3,0.2428571428571428,0.5428571428571428,0.3,0.2428571428571428,0.5714285714285714,,0.6160145647122239,0.5848668705241623,0.7142857142857143,HIGH,HIGH,True,True,0.2351001749615694,0.2399945912740059,0.1567334499743796,0.4571428571428571,0.5428571428571428,0.8142857142857143,0.7285714285714285,0.8029468087200411,0.9492822924412396,0.7122020834619537,1.846943285704063,0.3142857142857143,0.0660714285714285,0.7626098137831647,2390.802656952599,0.5818070818070817,0.598814229249012,0.5368131868131869,0.5628458498023716,0.5362637362637364,0.5636363636363637,0.5516280016280016,0.5368131868131869,0.5750988142292491,0.5636363636363637,eeg_only,HIGH,1,0.6160145647122239,HIGH,1,True,0.1160145647122239,,,,,,,,,
P01,valence,pick_place,PnP,SLOW,5.0,5.0,HIGH,43,43,0,1.0,43.0,0.4651162790697674,0.4651162790697674,0.0,0.4651162790697674,0.4651162790697674,0.0,0.813953488372093,,0.5587573549397882,0.5790278269672062,0.813953488372093,HIGH,HIGH,True,True,0.452614007865486,0.433286646799446,0.301742671910324,0.5348837209302325,0.627906976744186,0.5581395348837209,0.7441860465116279,0.2732431398595037,-0.0631660794895771,-0.0262389695280983,1.9950047911113,0.2790697674418604,0.0720930232558139,0.6222922569323199,32.68109099197595,0.5632051282051282,0.5877470355731226,0.5589160839160839,0.5703557312252965,0.5536130536130537,0.5612648221343873,0.5585780885780885,0.5589160839160839,0.5731225296442687,0.5703557312252965,eeg_only,HIGH,1,0.5587573549397882,HIGH,1,True,0.0587573549397881,,,,,,,,,
P01,valence,shape_sorter_alone,SSAlone,,6.0,6.0,HIGH,15,15,0,1.0,15.0,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.8,,0.6751887990348152,0.6395256083190244,0.8,HIGH,HIGH,True,True,0.5188952062976946,0.3980288544775527,0.3459301375317964,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.8666666666666667,-0.4870015176801328,-0.2650061989138688,0.7101216156858683,2.9752181382050384,0.4666666666666667,0.1666666666666666,0.9884519992228016,49.87533393153252,0.5632051282051282,0.5877470355731226,0.5589160839160839,0.5703557312252965,0.5536130536130537,0.5612648221343873,0.5585780885780885,0.5589160839160839,0.5731225296442687,0.5703557312252965,eeg_only,HIGH,1,0.6751887990348152,HIGH,1,True,0.1751887990348152,,,,,,,,,
P01,valence,shape_sorter_interaction,SSInt,,3.0,3.0,LOW,83,83,0,1.0,83.0,0.4698795180722891,0.4698795180722891,0.0,0.4698795180722891,0.4698795180722891,0.0,0.8313253012048193,,0.600750482604948,0.6192690035489629,0.8313253012048193,HIGH,HIGH,False,False,0.4695112985489986,0.4003583256672941,0.3130075323659991,0.5301204819277109,0.6265060240963856,0.6746987951807228,0.6385542168674698,-0.1351933106494622,0.0951993351671579,-0.0896448004474347,2.024205801522303,0.1927710843373494,0.0493975903614457,0.7192392084181479,47.85027373495088,0.5632051282051282,0.5877470355731226,0.5589160839160839,0.5703557312252965,0.5536130536130537,0.5612648221343873,0.5585780885780885,0.5589160839160839,0.5731225296442687,0.5703557312252965,eeg_only,LOW,0,0.600750482604948,HIGH,1,False,0.100750482604948,,,,,,,,,
P01,valence,shape_sorter_observation,SSObs,FAST,7.0,7.0,HIGH,63,63,0,1.0,63.0,0.8095238095238095,0.8095238095238095,0.0,0.8095238095238095,0.8095238095238095,0.0,0.9523809523809524,,0.7574443864724958,0.7112035309402946,0.9523809523809524,HIGH,HIGH,True,True,0.3643026817250652,0.3424614645827901,0.2428684544833768,0.1904761904761904,0.873015873015873,0.8571428571428571,0.8888888888888888,0.2712166879181802,-0.1395851045290255,0.2049731494545244,1.6681308852661023,0.2222222222222222,0.0396825396825396,0.5454635659156526,39.08237466796239,0.5632051282051282,0.5877470355731226,0.5589160839160839,0.5703557312252965,0.5536130536130537,0.5612648221343873,0.5585780885780885,0.5589160839160839,0.5731225296442687,0.5703557312252965,eeg_only,HIGH,1,0.7574443864724958,HIGH,1,True,0.2574443864724958,,,,,,,,,
