branch,target,task,task_display,n_valid,balanced_accuracy,accuracy,actual_high_count,actual_low_count,median_top3_image_ba,median_nearest_image_distance,median_outside_selected_fraction,median_abs_image_z,median_max_abs_image_z,mean_unanimous_agreement,mean_absolute_margin,median_probability_range,mean_complete_top3_coverage,task_level_ba_nearest_distance_spearman_rho,task_level_ba_nearest_distance_p_value_raw
eeg_only,arousal,pick_place,PnP,46,0.6568627450980392,0.6521739130434783,34,12,0.5638582251082251,2.3273947538027278,0.09909185262065384,0.8901411789465697,1700.8667857312962,0.6920721322331761,0.2203325223841216,0.24008442473062425,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,arousal,shape_sorter_alone,SSAlone,44,0.5080459770114942,0.5,15,29,0.5655050505050505,3.9411148534960034,0.16609195402298843,1.0856352434060188,1600.5233038086437,0.6766058306933761,0.2962178688848614,0.2719018416656117,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,arousal,shape_sorter_interaction,SSInt,44,0.45238095238095233,0.5227272727272727,35,9,0.5638582251082251,2.3935702030271697,0.09392511908097505,0.9400007059555818,1351.9373349489283,0.6747415988426924,0.2415809002917879,0.24650049854739292,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,arousal,shape_sorter_observation,SSObs,46,0.3881578947368421,0.4782608695652174,38,8,0.5638582251082251,2.0576221299778346,0.0727310005467468,0.818490839016651,1821.098069260609,0.660412847464372,0.21099008828796745,0.26172805049238823,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,arousal,sisyphus,Sisyphus,42,0.3881578947368421,0.5,38,4,0.5639087301587301,2.4632163124128956,0.11735241502683355,0.9068881431847726,1601.0867675746365,0.6593248991804701,0.25868585461966326,0.23949079691326364,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,arousal,stack,St,46,0.5272727272727272,0.5652173913043478,35,11,0.5638582251082251,2.038365052298288,0.060634328358208894,0.7984781675741524,1472.7313898123734,0.6619953384012224,0.21122201152189585,0.24380923170716506,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,valence,pick_place,PnP,46,0.6467532467532467,0.6521739130434783,35,11,0.5761324786324786,2.0697402879284956,0.10788461538461536,0.9274359027247778,161.30812596733514,0.6740785898560897,0.13577579616929678,0.24504389730601267,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,valence,shape_sorter_alone,SSAlone,44,0.2682926829268293,0.5,41,3,0.5761324786324786,2.961391935654193,0.16789215686274506,1.1263308088736257,80.60703855582948,0.6688054389460617,0.20777388800607682,0.2758152143006284,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,valence,shape_sorter_interaction,SSInt,44,0.2804878048780488,0.5227272727272727,41,3,0.5761324786324786,2.271083839163293,0.11014957264957259,0.9807978899275002,80.3118830070577,0.6634716598801493,0.14430298866957914,0.2595023512744139,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,valence,shape_sorter_observation,SSObs,46,0.44166666666666665,0.5217391304347826,40,6,0.5761324786324786,1.8779123469150845,0.08973945409429275,0.8661628466729312,101.56874332790284,0.6718580065229033,0.13300121074401758,0.2722901925697063,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,valence,sisyphus,Sisyphus,42,0.36184210526315785,0.4523809523809524,38,4,0.5761324786324786,2.458621568179161,0.12960382314314894,1.0680572988983583,150.43111144136992,0.6503336332476268,0.15919551591730488,0.2843803424314201,1.0,-0.34325796948578974,0.27467140968540055
eeg_only,valence,stack,St,46,0.512987012987013,0.5434782608695652,35,11,0.5761324786324786,1.94629172958604,0.0793746895181321,0.9031530431139632,116.70745493091671,0.6521569544926884,0.13245101296345688,0.23619094743544422,1.0,-0.34325796948578974,0.27467140968540055
modality_agnostic,arousal,pick_place,PnP,46,0.6004901960784315,0.6086956521739131,34,12,0.5859996865879218,3.413022594963393,0.13006965944272444,0.9734564205012767,17.26409677266861,0.650587403546383,0.21990920825694116,0.2848106829843586,0.8273699597099058,-0.6713286713286714,0.016831456186893395
modality_agnostic,arousal,shape_sorter_alone,SSAlone,44,0.47586206896551725,0.5,15,29,0.5859996865879218,5.160040732131567,0.20625,1.1060558318016316,18.234988642950448,0.6744232295633584,0.27204284263737794,0.3199548251331742,0.7613203995404345,-0.6713286713286714,0.016831456186893395
modality_agnostic,arousal,shape_sorter_interaction,SSInt,44,0.4095238095238095,0.45454545454545453,35,9,0.5859996865879218,3.555763108087233,0.14689440993788816,1.0415645350074896,32.015331884142725,0.6315723596723027,0.22451207452986377,0.3092578842653039,0.9474394733232253,-0.6713286713286714,0.016831456186893395
modality_agnostic,arousal,shape_sorter_observation,SSObs,46,0.33881578947368424,0.4782608695652174,38,8,0.5859996865879218,2.9759481982912757,0.1194758064516129,0.8679042162780235,16.416985692180702,0.6198668889676843,0.1939190028775312,0.2746299585001557,0.948588924813673,-0.6713286713286714,0.016831456186893395
modality_agnostic,arousal,sisyphus,Sisyphus,42,0.375,0.47619047619047616,38,4,0.5871866246498599,3.7270213514783466,0.14382819015846535,1.0270359778747984,25.366185747736214,0.6217370570722214,0.22417152086499384,0.283502345810293,0.9381353559592579,-0.6713286713286714,0.016831456186893395
modality_agnostic,arousal,stack,St,46,0.49870129870129865,0.5217391304347826,35,11,0.5859996865879218,2.935955929236147,0.1049567099567099,0.8238234770517013,22.16984619790814,0.6192284328921668,0.2063997611941331,0.3155940728221527,0.9623032547101817,-0.6713286713286714,0.016831456186893395
modality_agnostic,valence,pick_place,PnP,46,0.5103896103896104,0.5869565217391305,35,11,0.5991099709114415,2.8019308777296157,0.1516075388026607,1.0128076734652263,16.66491982989989,0.5666103828849308,0.18946100522664566,0.3463584413219639,0.8384894102043299,-0.6713286713286714,0.016831456186893395
modality_agnostic,valence,shape_sorter_alone,SSAlone,44,0.23170731707317074,0.4318181818181818,41,3,0.5991099709114415,4.52485910297315,0.17916666666666664,1.0565815482183738,19.560632394206486,0.5728694142233697,0.21005091024491182,0.3656470560815004,0.7441907467005676,-0.6713286713286714,0.016831456186893395
modality_agnostic,valence,shape_sorter_interaction,SSInt,44,0.24390243902439024,0.45454545454545453,41,3,0.5929149159663866,3.706180995680371,0.1500128790108919,1.055734907273437,22.36374180298219,0.5400587360395135,0.17635044291061208,0.362437131283174,0.9440293840439357,-0.6713286713286714,0.016831456186893395
modality_agnostic,valence,shape_sorter_observation,SSObs,46,0.5375,0.5652173913043478,40,6,0.5991099709114415,2.2835979197712133,0.10542937665782484,0.9204719450384407,14.480650162998868,0.5370226912136842,0.1609745818008209,0.3405932072988921,0.9484599810347859,-0.6713286713286714,0.016831456186893395
