target,model_rank,classifier,feature_family,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
arousal,1,logreg,all_eeg,pick_place,42,0.29700134546684165,0.24341948881980133,0.21963540040438187,0.11904761904761904
arousal,1,logreg,all_eeg,shape_sorter_alone,27,0.14830134267748007,0.10214808853474062,0.20820686214558884,0.07407407407407407
arousal,1,logreg,all_eeg,shape_sorter_interaction,77,0.20161465393777953,0.13461801161308024,0.20089352327978513,0.07792207792207792
arousal,1,logreg,all_eeg,shape_sorter_observation,59,0.403859441775375,0.3499846195282486,0.21034037739073738,0.288135593220339
arousal,1,logreg,all_eeg,sisyphus,91,0.1790380168787035,0.10926761676418581,0.1902769878696104,0.06593406593406594
arousal,1,logreg,all_eeg,stack,68,0.2704651189783087,0.23281662560625532,0.2006604342706214,0.11764705882352941
arousal,2,logreg,all_eeg,pick_place,42,0.22221521615475448,0.13741052004448445,0.22929357385352067,0.09523809523809523
arousal,2,logreg,all_eeg,shape_sorter_alone,27,0.06588062627552045,0.012479347180366328,0.19254875783321543,0.037037037037037035
arousal,2,logreg,all_eeg,shape_sorter_interaction,77,0.09857124295263975,0.02321229283488721,0.18501963932323137,0.03896103896103896
arousal,2,logreg,all_eeg,shape_sorter_observation,59,0.32962596043851794,0.28911852955675194,0.2410896584253457,0.1864406779661017
arousal,2,logreg,all_eeg,sisyphus,91,0.08847093588875649,0.026447193116995466,0.17952245537310993,0.03296703296703297
arousal,2,logreg,all_eeg,stack,68,0.18825357099219392,0.11277021793616054,0.21895045920983355,0.08823529411764706
arousal,3,logreg,paper_compact,pick_place,42,0.2322739384177584,0.14133942626813528,0.23822931240490303,0.09523809523809523
arousal,3,logreg,paper_compact,shape_sorter_alone,27,0.060348558707308916,0.0144035371521931,0.19028028999561705,0.037037037037037035
arousal,3,logreg,paper_compact,shape_sorter_interaction,77,0.1025649411207523,0.02844220188518579,0.18372021116984297,0.03896103896103896
arousal,3,logreg,paper_compact,shape_sorter_observation,59,0.317141495513214,0.28025244046639197,0.22412075675949966,0.1694915254237288
arousal,3,logreg,paper_compact,sisyphus,91,0.0862118817515045,0.029565149409555503,0.15342373400083534,0.03296703296703297
arousal,3,logreg,paper_compact,stack,68,0.1745236366439358,0.10974035545507635,0.20449824343488898,0.07352941176470588
valence,1,svm,paper_compact,pick_place,42,0.613406764482128,0.6420886309884464,0.22201910024093383,0.6428571428571429
valence,1,svm,paper_compact,shape_sorter_alone,27,0.40661095627073524,0.4071993905997514,0.18736067032580211,0.3333333333333333
valence,1,svm,paper_compact,shape_sorter_interaction,77,0.439081973356826,0.4166218962257284,0.2004769106155036,0.3246753246753247
valence,1,svm,paper_compact,shape_sorter_observation,59,0.5164839295910257,0.565703254946219,0.20679488010459857,0.5932203389830508
valence,1,svm,paper_compact,sisyphus,91,0.48532433307912654,0.5162516417659373,0.2222885879545741,0.4065934065934066
valence,1,svm,paper_compact,stack,68,0.517933986455411,0.5259414489984111,0.19426222909270444,0.4852941176470588
valence,2,logreg,all_eeg,pick_place,42,0.4994024692239459,0.5483025883668815,0.17413899986688047,0.6428571428571429
valence,2,logreg,all_eeg,shape_sorter_alone,27,0.22333203544530755,0.23750272348004686,0.1598851095338926,0.0
valence,2,logreg,all_eeg,shape_sorter_interaction,77,0.3046257386643092,0.2913130129559704,0.14364633478641484,0.07792207792207792
valence,2,logreg,all_eeg,shape_sorter_observation,59,0.45265080446426365,0.47994663164889934,0.15245398437027194,0.4067796610169492
valence,2,logreg,all_eeg,sisyphus,91,0.35967651063840084,0.3594483576496845,0.1642225176585607,0.24175824175824176
valence,2,logreg,all_eeg,stack,68,0.41904178905786904,0.41895301471807356,0.145234197197137,0.3088235294117647
valence,3,gnb,all_eeg,pick_place,42,0.6644623122868163,0.9390668900398162,0.4305693290931314,0.6904761904761905
valence,3,gnb,all_eeg,shape_sorter_alone,27,0.027069895451549454,5.113363528662278e-26,0.11917819518996715,0.037037037037037035
valence,3,gnb,all_eeg,shape_sorter_interaction,77,0.08410751372552203,2.0996990452038618e-14,0.2568152836076795,0.07792207792207792
valence,3,gnb,all_eeg,shape_sorter_observation,59,0.49837925975451164,0.5548378124164233,0.45089454728176437,0.5084745762711864
valence,3,gnb,all_eeg,sisyphus,91,0.2021854640733863,6.945428184090861e-10,0.37898355769534525,0.1978021978021978
valence,3,gnb,all_eeg,stack,68,0.3309118468350022,0.009934092105283227,0.4298179080950123,0.3235294117647059
