target,model_rank,participant,task,segment_id,window_id,window_start_s,window_end_s,nearest_image_distance,outside_selected_count,outside_selected_fraction,median_abs_image_z,max_abs_image_z
arousal,1,P27,pick_place,1,pick_place_s1_0.000,0.0,2.0,1288.9681015306958,3,0.3,2.0100428596037587,1292.348249124392
arousal,1,P27,pick_place,1,pick_place_s1_1.000,1.0,3.0,62.54453727058667,5,0.5,4.201467701488613,62.33801371249803
arousal,1,P27,pick_place,1,pick_place_s1_2.000,2.0,4.0,9.196333432042767,2,0.2,1.7517027048361675,9.847581789977184
arousal,1,P27,pick_place,1,pick_place_s1_3.000,3.0,5.0,4.0728110543391525,1,0.1,0.23096542251481628,4.75844532388757
arousal,1,P27,pick_place,1,pick_place_s1_4.000,4.0,6.0,3.4523425032867627,1,0.1,0.9295927618858315,3.3361241282290313
arousal,1,P27,pick_place,1,pick_place_s1_5.000,5.0,7.0,3.52414496731478,0,0.0,1.096310410878464,3.5174398647759815
arousal,1,P27,pick_place,1,pick_place_s1_6.000,6.0,8.0,3.053641212676562,0,0.0,0.6167128718808639,3.0694762924679084
arousal,1,P27,pick_place,1,pick_place_s1_7.000,7.0,9.0,3.1207644516357265,0,0.0,0.9279983955351673,1.9291596204463668
arousal,1,P27,pick_place,1,pick_place_s1_8.000,8.0,10.0,2.84661408040328,0,0.0,0.8635776416338359,2.5795123163809577
arousal,1,P27,pick_place,1,pick_place_s1_9.000,9.0,11.0,2.740607077133821,0,0.0,0.9750343365783578,2.4482035695691184
arousal,1,P27,pick_place,1,pick_place_s1_10.000,10.0,12.0,2.5357773521670834,1,0.1,0.5889195600424363,2.328282513089925
arousal,1,P27,pick_place,1,pick_place_s1_11.000,11.0,13.0,3.955917014693869,1,0.1,0.8777932830440272,3.530594559861442
arousal,1,P27,pick_place,1,pick_place_s1_12.000,12.0,14.0,4.185754693587801,1,0.1,1.0412398639204654,5.243030993781687
arousal,1,P27,pick_place,1,pick_place_s1_13.000,13.0,15.0,4.303744281150255,2,0.2,0.8777867616461006,4.2504350135354025
arousal,1,P27,pick_place,1,pick_place_s1_14.000,14.0,16.0,4.149932506465559,1,0.1,0.8514170054322534,4.6804127592541604
arousal,1,P27,pick_place,1,pick_place_s1_15.000,15.0,17.0,3.321505028197662,0,0.0,0.9676864525947091,3.310163319288415
arousal,1,P27,pick_place,1,pick_place_s1_16.000,16.0,18.0,5.087746107622388,2,0.2,0.701932533698886,5.560171957102587
arousal,1,P27,pick_place,1,pick_place_s1_17.000,17.0,19.0,10.336148905042075,2,0.2,1.1422123344880015,13.351906743689291
arousal,1,P27,pick_place,1,pick_place_s1_18.000,18.0,20.0,12.572599711861711,2,0.2,0.45694375155832956,13.685055715169238
arousal,1,P27,pick_place,1,pick_place_s1_19.000,19.0,21.0,5.208215006601393,1,0.1,0.9546126574970125,4.269127667577855
arousal,1,P27,pick_place,1,pick_place_s1_20.000,20.0,22.0,2.186471595687324,0,0.0,0.686338397355879,1.9424389427870112
arousal,1,P27,pick_place,1,pick_place_s1_21.000,21.0,23.0,3.307026629976485,1,0.1,1.191603607677601,2.264801816514312
